,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
285,永和區,房地(土地+建物)+車位,商,108,14,住宅大樓(11層含以上有電梯),4,1,0,49.331700000000005,18,7,1.0
294,永和區,房地(土地+建物)+車位,其他,107,8,華廈(10層含以下有電梯),4,1,0,36.218325,21,7,0.375
301,中和區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,25.534025,33,7,0.8
303,三重區,房地(土地+建物),住,108,8,套房(1房1廳1衛),4,0,0,7.801475,23,2,0.875
308,三重區,房地(土地+建物),住,108,2,透天厝,5,0,0,20.0981,53,6,1.0
309,三芝區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,33.943524999999994,23,7,0.3333333333333333
312,淡水區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,0,0,42.891475,29,7,0.6
336,金山區,房地(土地+建物)+車位,住,108,7,套房(1房1廳1衛),4,1,0,35.20495,11,3,0.8571428571428571
351,土城區,房地(土地+建物),住,108,12,套房(1房1廳1衛),4,1,0,12.127225000000001,25,3,0.9166666666666666
353,土城區,房地(土地+建物),商,108,19,套房(1房1廳1衛),4,1,0,9.58925,23,3,0.5263157894736842
356,板橋區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,1,0,31.835099999999997,22,7,0.8333333333333334
361,土城區,房地(土地+建物)+車位,商,108,15,住宅大樓(11層含以上有電梯),4,1,0,50.865375,5,7,0.4
368,板橋區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,0,0,35.27755,20,7,1.0
370,新莊區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,31.898625,16,5,0.5
379,泰山區,房地(土地+建物),住,108,9,華廈(10層含以下有電梯),4,1,0,37.047174999999996,24,6,0.2222222222222222
388,新店區,房地(土地+建物)+車位,其他,108,4,公寓(5樓含以下無電梯),4,1,0,46.312749999999994,29,9,0.75
391,新店區,房地(土地+建物),住,107,2,透天厝,4,1,0,70.170925,33,11,1.0
395,汐止區,房地(土地+建物),其他,108,16,住宅大樓(11層含以上有電梯),4,1,0,31.723175,21,7,0.25
405,淡水區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,38.33885,10,6,0.2857142857142857
433,三重區,房地(土地+建物),商,108,25,套房(1房1廳1衛),4,1,0,9.631599999999999,19,3,0.64
438,瑞芳區,房地(土地+建物),商,108,3,公寓(5樓含以下無電梯),5,0,0,15.137099999999998,44,3,0.6666666666666666
443,永和區,房地(土地+建物),住,108,2,透天厝,5,0,0,44.709500000000006,43,9,1.0
451,板橋區,房地(土地+建物)+車位,其他,108,14,住宅大樓(11層含以上有電梯),4,1,1200000,29.272924999999997,12,5,0.7142857142857143
454,三峽區,房地(土地+建物),住,108,15,套房(1房1廳1衛),4,1,0,13.071025,13,3,0.4
