,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
997,新營區,房地(土地+建物),商,108,5,華廈(10層含以下有電梯),4,0,0,10.841600000000001,27,2,0.8
999,安南區,房地(土地+建物)+車位,其他,108,9,華廈(10層含以下有電梯),4,1,0,40.861700000000006,23,7,0.7777777777777778
1026,永康區,房地(土地+建物),商,108,10,華廈(10層含以下有電梯),4,1,0,24.898775,24,6,0.9
1037,新化區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,49.93065,26,7,1.0
1046,南區,房地(土地+建物),商,108,2,透天厝,5,0,0,31.339,39,9,1.0
1060,中西區,房地(土地+建物),其他,108,12,套房(1房1廳1衛),4,1,0,9.716299999999999,25,2,0.5
1074,東區,房地(土地+建物),其他,108,7,華廈(10層含以下有電梯),4,1,0,33.98285,36,4,0.5714285714285714
1085,山上區,房地(土地+建物),住,108,3,透天厝,4,0,0,62.638675,7,11,1.0
1093,新市區,房地(土地+建物),住,108,9,套房(1房1廳1衛),4,1,0,8.575875,23,2,0.8888888888888888
1127,安平區,房地(土地+建物),其他,108,6,華廈(10層含以下有電梯),4,1,0,35.395525,25,7,0.8333333333333334
1166,楠西區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,15.146175,23,2,1.0
1211,善化區,房地(土地+建物)+車位,商,108,13,住宅大樓(11層含以上有電梯),4,1,0,36.962475,10,5,0.6153846153846154
1213,東區,房地(土地+建物),商,108,9,華廈(10層含以下有電梯),4,1,0,22.000825,27,5,0.4444444444444444
1215,東區,房地(土地+建物)+車位,商,108,14,套房(1房1廳1衛),4,1,0,20.7757,11,3,0.21428571428571427
1227,北區,房地(土地+建物),商,108,2,透天厝,5,0,0,26.63815,49,7,1.0
1240,安南區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,36.968525,25,7,0.5
1313,北區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,1,0,57.71095,26,6,0.8
1348,新化區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,0,62.378525,26,11,0.5833333333333334
1351,歸仁區,房地(土地+建物),住,108,14,住宅大樓(11層含以上有電梯),4,1,0,26.741,21,7,0.6428571428571429
1353,仁德區,房地(土地+建物)+車位,其他,108,14,住宅大樓(11層含以上有電梯),4,1,0,52.680375,9,7,1.0
1396,歸仁區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,42.50427499999999,24,7,0.6
1442,中西區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,0,38.72605,25,7,0.6666666666666666
1493,官田區,房地(土地+建物),住,108,3,透天厝,4,0,0,52.09049999999999,27,8,1.0
1501,安平區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,0,0,44.204325,28,7,0.8
1533,北區,房地(土地+建物),住,108,7,套房(1房1廳1衛),4,0,0,7.656274999999999,38,2,0.7142857142857143
1538,佳里區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,36.466375,25,7,0.5833333333333334
