,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
104,中壢區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,22.533224999999998,35,6,0.6
106,中壢區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,33.26895,15,7,1.0
108,中壢區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,60.950725,29,7,0.25
109,中壢區,房地(土地+建物),商,108,14,住宅大樓(11層含以上有電梯),4,1,0,24.771725,11,4,0.9285714285714286
110,中壢區,房地(土地+建物)+車位,其他,108,18,套房(1房1廳1衛),4,0,0,24.801975,15,3,0.2777777777777778
139,桃園區,房地(土地+建物),住,108,9,華廈(10層含以下有電梯),4,1,0,31.323874999999997,20,7,0.3333333333333333
142,桃園區,房地(土地+建物),住,108,2,透天厝,5,0,0,25.3253,46,7,1.0
165,中壢區,房地(土地+建物),商,108,12,套房(1房1廳1衛),4,1,0,9.250449999999999,19,3,1.0
167,中壢區,房地(土地+建物)+車位,商,108,12,住宅大樓(11層含以上有電梯),4,1,0,43.242374999999996,19,7,0.9166666666666666
171,大溪區,房地(土地+建物)+車位,住,108,4,透天厝,4,1,0,67.666225,23,14,1.0
176,蘆竹區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,1,0,36.92315,26,7,1.0
177,大園區,房地(土地+建物),住,108,2,透天厝,5,0,0,34.14015,41,9,1.0
178,蘆竹區,房地(土地+建物)+車位,商,108,10,華廈(10層含以下有電梯),4,1,0,29.085375,14,5,0.3
179,八德區,房地(土地+建物),其他,108,7,套房(1房1廳1衛),4,1,0,12.381325,26,3,1.0
185,平鎮區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,800000,48.97475,3,6,0.375
186,平鎮區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,22.085525,35,6,0.8
190,龜山區,房地(土地+建物)+車位,商,108,10,華廈(10層含以下有電梯),4,1,0,30.228825,16,7,0.9
192,龜山區,房地(土地+建物),住,108,6,套房(1房1廳1衛),4,1,0,8.721074999999999,14,3,0.6666666666666666
209,龜山區,房地(土地+建物),商,108,14,套房(1房1廳1衛),4,1,0,10.977725,21,3,0.7142857142857143
217,平鎮區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,27.0919,25,6,0.2857142857142857
223,八德區,房地(土地+建物),住,108,13,住宅大樓(11層含以上有電梯),4,1,0,36.523849999999996,23,7,0.8461538461538461
225,蘆竹區,房地(土地+建物),住,108,11,住宅大樓(11層含以上有電梯),4,1,0,28.776825,24,7,0.09090909090909091
231,蘆竹區,房地(土地+建物),住,108,27,套房(1房1廳1衛),4,1,0,14.232624999999999,22,3,0.14814814814814814
238,中壢區,房地(土地+建物)+車位,商,108,14,套房(1房1廳1衛),4,1,0,19.477975,19,3,0.35714285714285715
246,桃園區,房地(土地+建物)+車位,住,108,10,套房(1房1廳1衛),4,1,0,26.320525,17,3,0.9
264,桃園區,房地(土地+建物)+車位,商,108,9,華廈(10層含以下有電梯),4,1,0,50.847225,13,4,0.1111111111111111
296,龍潭區,房地(土地+建物),住,108,2,透天厝,5,0,0,22.59675,39,12,1.0
301,楊梅區,房地(土地+建物),住,108,13,住宅大樓(11層含以上有電梯),4,1,0,30.228825,25,4,0.7692307692307693
304,大園區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,27.7453,37,6,0.8
311,八德區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,35.970275,33,7,1.0
321,平鎮區,房地(土地+建物),住,108,14,套房(1房1廳1衛),4,1,0,15.7179,15,3,1.0
354,蘆竹區,房地(土地+建物)+車位,其他,108,7,華廈(10層含以下有電梯),4,1,0,43.121375,25,7,1.0
355,蘆竹區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,31.72015,23,7,0.9166666666666666
361,大溪區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,1,0,34.8238,20,6,0.5
368,桃園區,房地(土地+建物),住,108,14,套房(1房1廳1衛),4,1,0,25.552175,16,3,0.5714285714285714
504,中壢區,房地(土地+建物),其他,108,14,套房(1房1廳1衛),4,1,0,17.638775,20,3,0.21428571428571427
505,龍潭區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,1,0,18.630975,12,5,1.0
515,大園區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,102.10585,5,7,1.0
536,桃園區,房地(土地+建物),商,108,10,套房(1房1廳1衛),4,1,0,10.130725,37,3,1.0
555,中壢區,房地(土地+建物)+車位,住,108,9,套房(1房1廳1衛),4,1,1200000,15.285325,21,3,0.6666666666666666
565,龜山區,房地(土地+建物),住,108,4,透天厝,4,0,0,73.39859999999999,30,13,1.0
574,平鎮區,房地(土地+建物)+車位,其他,108,12,住宅大樓(11層含以上有電梯),4,1,1200000,74.212325,1,7,0.5
582,大園區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,0,0,32.939225,24,8,0.2
583,蘆竹區,房地(土地+建物)+車位,住,108,14,套房(1房1廳1衛),4,1,0,19.965,20,3,0.2857142857142857
590,龍潭區,房地(土地+建物)+車位,商,108,13,住宅大樓(11層含以上有電梯),4,0,0,50.072825,12,5,0.6153846153846154
