,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
29705,西區,房地(土地+建物)+車位,住,6,3,透天厝,4,1,0.0,9,50.829074999999996,27.149815336989708,29,1,1.0
30253,大肚區,房地(土地+建物),住,6,12,住宅大樓(11層含以上有電梯),4,1,0.0,7,31.535625,10.369225280932278,23,0,0.9166666666666666
30343,清水區,房地(土地+建物)+車位,住,6,7,華廈(10層含以下有電梯),4,1,0.0,7,35.492325,11.270042185176655,25,1,0.7142857142857143
31014,西區,房地(土地+建物)+車位,商,6,8,華廈(10層含以下有電梯),4,1,0.0,8,51.83035,21.801897922742175,20,1,0.5
31033,豐原區,房地(土地+建物),其他,6,2,透天厝,5,0,0.0,6,29.2699,16.399099416123732,44,0,1.0
31077,霧峰區,房地(土地+建物),住,6,5,華廈(10層含以下有電梯),4,0,0.0,7,32.818225,10.66480591195898,25,0,0.6
31422,梧棲區,房地(土地+建物)+車位,商,6,9,華廈(10層含以下有電梯),4,1,0.0,7,39.4702,10.134227847844704,22,1,0.6666666666666666
32627,南屯區,房地(土地+建物),商,6,16,套房(1房1廳1衛),4,1,0.0,3,20.06785,23.32088390136462,23,0,0.375
33459,東勢區,房地(土地+建物),其他,7,3,透天厝,5,0,0.0,8,49.15625,32.040686586141135,46,0,1.0
36235,龍井區,房地(土地+建物)+車位,住,6,5,透天厝,4,1,0.0,9,62.953275000000005,13.978621445826288,26,1,1.0
36885,大甲區,房地(土地+建物),住,6,12,住宅大樓(11層含以上有電梯),4,0,0.0,3,9.48035,11.075540460004115,23,0,0.9166666666666666
37109,中區,房地(土地+建物),住,6,4,公寓(5樓含以下無電梯),4,0,0.0,5,10.221475,12.229154794195555,41,0,1.0
37780,南屯區,房地(土地+建物)+車位,住,6,5,公寓(5樓含以下無電梯),4,1,0.0,6,32.11945,15.25555387779056,23,1,0.4
37813,神岡區,房地(土地+建物)+車位,商,6,6,華廈(10層含以下有電梯),4,1,0.0,7,35.1505,13.655566777143994,25,1,0.8333333333333334
38537,中區,房地(土地+建物),住,6,12,住宅大樓(11層含以上有電梯),4,1,0.0,3,10.89605,14.684220428503906,34,0,0.5833333333333334
38914,潭子區,房地(土地+建物)+車位,住,6,17,套房(1房1廳1衛),4,1,0.0,3,20.1949,13.369712155049047,24,1,0.35294117647058826
43781,大里區,房地(土地+建物),其他,6,1,透天厝,5,0,0.0,4,18.83365,19.0759624395696,44,0,1.0
44166,后里區,房地(土地+建物),住,6,5,華廈(10層含以下有電梯),4,0,0.0,6,26.196499999999997,18.32305842383525,5,0,0.2
44277,大雅區,房地(土地+建物)+車位,其他,6,10,華廈(10層含以下有電梯),4,1,0.0,8,61.440775,13.83446090971346,22,1,1.0
45936,南區,房地(土地+建物),其他,6,7,華廈(10層含以下有電梯),4,0,0.0,6,32.2707,12.705023442317644,26,0,1.0
46328,北區,房地(土地+建物),商,6,3,透天厝,5,0,0.0,8,46.527525,30.08971571129133,44,0,1.0
46335,北屯區,房地(土地+建物),其他,6,3,透天厝,4,0,0.0,8,97.33239999999999,40.890803062495124,28,0,1.0
48554,后里區,房地(土地+建物),其他,6,2,透天厝,5,0,0.0,7,34.485,10.3813252138611,42,0,1.0
48646,龍井區,房地(土地+建物),其他,6,7,華廈(10層含以下有電梯),4,1,0.0,7,30.35285,10.213208973786646,21,0,0.42857142857142855
48899,南屯區,房地(土地+建物),其他,6,14,住宅大樓(11層含以上有電梯),4,1,0.0,2,7.671399999999999,17.98889381338478,23,0,0.21428571428571427
48952,大甲區,房地(土地+建物)+車位,商,6,10,華廈(10層含以下有電梯),4,0,0.0,7,37.712675,11.932327791650952,24,1,0.4
50790,梧棲區,房地(土地+建物)+車位,商,6,12,住宅大樓(11層含以上有電梯),4,1,0.0,6,32.158775,10.821307714612885,20,1,0.5833333333333334
50997,南區,房地(土地+建物),其他,6,5,公寓(5樓含以下無電梯),4,0,0.0,6,28.909924999999998,11.068863028873302,32,0,0.8
51543,南屯區,房地(土地+建物),商,6,5,公寓(5樓含以下無電梯),4,0,0.0,5,19.6383,13.23943518532663,37,0,0.4
52574,西區,房地(土地+建物),其他,6,10,華廈(10層含以下有電梯),4,1,0.0,6,31.82905,15.708919996041352,37,0,0.7
53022,清水區,房地(土地+建物)+車位,住,6,5,透天厝,4,0,0.0,9,76.105975,10.248866793967228,20,1,1.0
54362,南屯區,房地(土地+建物),其他,6,7,華廈(10層含以下有電梯),4,1,0.0,7,33.3718,16.33115384845888,24,0,0.42857142857142855
54500,西區,房地(土地+建物)+車位,其他,6,12,套房(1房1廳1衛),4,1,60.0,2,10.923275,18.767265311914237,21,1,0.3333333333333333
57002,南區,房地(土地+建物)+車位,住,6,4,透天厝,4,0,100.0,9,69.735325,19.50231105971041,24,1,1.0
57603,南屯區,房地(土地+建物),商,5,2,透天厝,5,0,0.0,7,40.8133,36.26268887838033,31,0,1.0
57767,北屯區,房地(土地+建物)+車位,其他,6,10,華廈(10層含以下有電梯),4,1,60.0,7,40.4382,16.02445212694927,25,1,0.4
58971,霧峰區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,7,29.811374999999998,15.094909241858185,44,0,1.0
59201,太平區,房地(土地+建物)+車位,住,6,4,透天厝,4,0,0.0,7,69.62945,11.518114820668552,23,1,1.0
59847,大甲區,房地(土地+建物),商,6,4,公寓(5樓含以下無電梯),4,0,0.0,8,28.922024999999998,13.415381530166025,39,0,0.5
62328,清水區,房地(土地+建物),住,6,8,華廈(10層含以下有電梯),4,0,0.0,7,46.433749999999996,11.543327859584894,18,0,0.375
63208,潭子區,房地(土地+建物),其他,6,6,華廈(10層含以下有電梯),4,1,0.0,5,18.800375,14.893319947075524,39,0,0.8333333333333334
63564,烏日區,房地(土地+建物),住,6,7,華廈(10層含以下有電梯),4,1,0.0,6,14.873925,10.084762428209098,26,0,0.2857142857142857
64002,南區,房地(土地+建物),商,6,5,華廈(10層含以下有電梯),4,0,0.0,7,34.367025,14.403341575245458,29,0,1.0
70650,龍井區,房地(土地+建物),商,5,13,住宅大樓(11層含以上有電梯),4,1,0.0,7,34.760275,10.068965219636496,22,0,0.6923076923076923
71922,清水區,房地(土地+建物),住,5,4,公寓(5樓含以下無電梯),4,0,0.0,5,29.599624999999996,12.162316245560545,22,0,0.5
71984,沙鹿區,房地(土地+建物),商,5,11,住宅大樓(11層含以上有電梯),4,1,0.0,5,18.42225,18.455943220833504,19,0,0.09090909090909091
72500,梧棲區,房地(土地+建物),商,5,7,華廈(10層含以下有電梯),4,1,0.0,6,33.120725,10.114512891852458,25,0,0.7142857142857143
72531,大安區,房地(土地+建物),商,5,2,透天厝,5,0,0.0,8,18.99095,11.55256056174125,44,0,1.0
73965,東勢區,房地(土地+建物),商,5,3,透天厝,4,0,0.0,8,70.44015,15.61609394642118,39,0,1.0
75015,沙鹿區,房地(土地+建物),住,6,11,住宅大樓(11層含以上有電梯),4,0,0.0,7,21.032825,15.594671662033036,20,0,0.5454545454545454
76684,石岡區,房地(土地+建物),住,6,2,透天厝,5,0,0.0,8,28.8222,12.49037200491288,40,0,1.0
76813,新社區,房地(土地+建物),住,5,2,透天厝,5,0,0.0,8,24.9986,10.000560031361756,38,0,1.0
82169,大甲區,房地(土地+建物)+車位,住,5,8,套房(1房1廳1衛),4,1,0.0,2,10.9626,13.682885446883038,24,1,0.75
82799,清水區,房地(土地+建物)+車位,住,5,5,公寓(5樓含以下無電梯),4,1,0.0,7,37.137924999999996,11.901580392550205,20,1,0.2
84475,東勢區,房地(土地+建物),住,5,4,公寓(5樓含以下無電梯),4,0,0.0,6,21.855625,10.066058508965083,35,0,1.0
84853,大雅區,房地(土地+建物),住,5,5,套房(1房1廳1衛),4,0,0.0,3,9.3049,12.896430912744897,37,0,1.0
84888,神岡區,房地(土地+建物)+車位,住,5,5,公寓(5樓含以下無電梯),4,0,0.0,7,44.700425,10.64866832921611,21,1,0.4
85849,大雅區,房地(土地+建物)+車位,商,5,14,住宅大樓(11層含以上有電梯),4,1,0.0,5,37.373875,13.645895695857067,23,1,0.42857142857142855
87004,清水區,房地(土地+建物),住,5,12,套房(1房1廳1衛),4,1,0.0,2,14.462525,12.999113225387683,34,0,0.75
