,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
86403,鳥松區,房地(土地+建物),其他,5,3,透天厝,4,0,0.0,8,49.49505,10.102020303040405,24,0,1.0
86789,小港區,房地(土地+建物),商,5,5,公寓(5樓含以下無電梯),4,0,0.0,6,24.566024999999996,10.583722844863996,36,0,0.4
88039,大社區,房地(土地+建物),商,5,2,透天厝,4,0,0.0,7,31.78065,20.4526968454075,30,0,1.0
89379,新興區,房地(土地+建物)+車位,住,5,6,華廈(10層含以下有電梯),4,1,0.0,8,48.01885,15.410614789816915,24,1,0.8333333333333334
89564,左營區,房地(土地+建物),商,5,2,透天厝,5,0,0.0,6,23.6555,11.836570776352222,48,0,1.0
94330,鳥松區,房地(土地+建物),商,9,12,住宅大樓(11層含以上有電梯),4,1,0.0,3,9.344225,13.912336229061266,40,0,0.8333333333333334
97280,林園區,房地(土地+建物),住,9,7,華廈(10層含以下有電梯),4,1,0.0,5,34.972025,13.725256115423685,28,0,1.0
100533,湖內區,房地(土地+建物),住,9,13,住宅大樓(11層含以上有電梯),4,1,0.0,2,8.164475,10.410957226276032,27,0,0.8461538461538461
101851,湖內區,房地(土地+建物)+車位,住,9,10,華廈(10層含以下有電梯),4,1,0.0,7,13.095225,14.509105418196327,28,1,1.0
102232,燕巢區,房地(土地+建物),商,9,9,華廈(10層含以下有電梯),4,0,0.0,7,32.784949999999995,11.590684140131373,28,0,0.7777777777777778
109556,鳥松區,房地(土地+建物)+車位,住,4,15,套房(1房1廳1衛),4,1,0.0,3,23.089824999999998,11.043825581181322,21,1,0.06666666666666667
113660,楠梓區,房地(土地+建物)+車位,住,4,16,套房(1房1廳1衛),4,1,0.0,3,18.3315,12.546709216376184,20,1,0.375
114162,三民區,房地(土地+建物)+車位,其他,4,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,44.748825000000004,18.324503492549802,2,1,0.8666666666666667
114267,前金區,房地(土地+建物),住,4,7,公寓(5樓含以下無電梯),4,0,0.0,5,14.9072,18.782870022539445,24,0,0.42857142857142855
116467,旗津區,房地(土地+建物),住,4,4,公寓(5樓含以下無電梯),4,0,0.0,4,14.020875,10.698333734520848,24,0,0.5
126459,楠梓區,房地(土地+建物),商,4,2,透天厝,5,0,0.0,7,49.004999999999995,24.18120599938782,45,0,1.0
145985,旗津區,房地(土地+建物),商,3,10,華廈(10層含以下有電梯),4,1,0.0,7,31.91375,10.497042810700716,17,0,0.5
148953,大社區,房地(土地+建物),住,3,5,公寓(5樓含以下無電梯),4,0,0.0,7,25.364624999999997,10.644746374133268,20,0,0.6
149738,新興區,房地(土地+建物),住,3,4,公寓(5樓含以下無電梯),4,0,0.0,7,21.958475,14.11755597781722,43,0,1.0
153142,大寮區,房地(土地+建物),住,3,6,套房(1房1廳1衛),4,1,0.0,3,11.038225,10.871313096082023,19,0,0.8333333333333334
154357,仁武區,房地(土地+建物),其他,3,15,住宅大樓(11層含以上有電梯),4,1,0.0,6,26.072474999999997,11.122841233906641,21,0,0.8
156708,彌陀區,房地(土地+建物),其他,3,2,透天厝,5,0,0.0,5,14.96165,11.028195419622834,43,0,1.0
156970,阿蓮區,房地(土地+建物),其他,3,3,透天厝,4,0,0.0,9,47.471325,11.585941618440184,21,0,1.0
157519,阿蓮區,房地(土地+建物),商,3,3,透天厝,5,0,0.0,5,35.952124999999995,23.642552422144732,42,0,1.0
160447,大寮區,房地(土地+建物)+車位,住,3,2,透天厝,5,0,0.0,7,27.485149999999997,12.370316334456971,31,1,1.0
161917,大社區,房地(土地+建物),商,3,10,華廈(10層含以下有電梯),4,1,0.0,7,17.72045,10.609211391358572,20,0,1.0
163180,前鎮區,房地(土地+建物)+車位,住,3,5,透天厝,4,0,0.0,7,62.372474999999994,25.972995299609327,6,0,1.0
163181,前鎮區,房地(土地+建物)+車位,住,3,13,套房(1房1廳1衛),4,1,0.0,3,27.288524999999996,15.097921195813994,11,1,1.0
163213,苓雅區,房地(土地+建物),其他,3,35,住宅大樓(11層含以上有電梯),4,1,0.0,7,41.63005,12.130660424380947,18,0,0.4857142857142857
163725,苓雅區,房地(土地+建物)+車位,住,3,7,套房(1房1廳1衛),4,1,0.0,3,19.048424999999998,11.155777971144596,22,1,1.0
